2D
"e(x-2n-o)   (n>1)

{2n} n

hemi-2n-gon","hemi(. .) | n | 2
----------+---+--
hemi(x .) | 2 | n",,
3D
"e( x3o4o )


{3,4} 3

elloct

hemi-octahedron



  ©","hemi(. . .) | 3 | 4 | 4
------------+---+---+--
hemi(x . .) | 2 | 6 | 2
------------+---+---+--
hemi(x3o .) | 3 | 3 | 4","e( x4o3o )


{4,3} 3

elcube

hemi-cube, petrial tetrahedron



  ©
   

  ©","hemi(. . .) | 4 | 3 | 3
------------+---+---+--
hemi(x . .) | 2 | 6 | 2
------------+---+---+--
hemi(x4o .) | 4 | 4 | 3"
"e( o3x4o )


elco

hemi-cuboctahedron","hemi(. . .) | 6 |  4 | 2 2
------------+---+----+----
hemi(. x .) | 2 | 12 | 1 1
------------+---+----+----
hemi(o3x .) | 3 |  3 | 4 *
hemi(. x4o) | 4 |  4 | * 3",,
"e( x3x4o )

eltoe

truncated hemi-octahedron","hemi(. . .) | 12 | 1  2 | 2 1
------------+----+------+----
hemi(x . .) |  2 | 6  * | 2 0
hemi(. x .) |  2 | * 12 | 1 1
------------+----+------+----
hemi(x3x .) |  6 | 3  3 | 4 *
hemi(. x4o) |  4 | 0  4 | * 3","e( o3x4x )

eltic

truncated hemi-cube","hemi(. . .) | 12 |  2 1 | 1 2
------------+----+------+----
hemi(. x .) |  2 | 12 * | 1 1
hemi(. . x) |  2 |  * 6 | 0 2
------------+----+------+----
hemi(o3x .) |  3 |  3 0 | 4 *
hemi(. x4x) |  8 |  4 4 | * 3"
"e( x3o4x )


elsirco

small rhombated hemi-cuboctahedron


(more general:

e(y3o4x) with ""y"" = x,q,f,...)","hemi(. . .) | 12 |  2  2 | 1 2 1
------------+----+-------+------
hemi(x . .) |  2 | 12  * | 1 1 0
hemi(. . x) |  2 |  * 12 | 0 1 1
------------+----+-------+------
hemi(x3o .) |  3 |  3  0 | 4 * *
hemi(x . x) |  4 |  2  2 | * 6 *
hemi(. o4x) |  4 |  0  4 | * * 3","e( x3x4x )


elgirco

great rhombated hemi-cuboctahedron","hemi(. . .) | 24 |  1  1  1 | 1 1 1
------------+----+----------+------
hemi(x . .) |  2 | 12  *  * | 1 1 0
hemi(. x .) |  2 |  * 12  * | 1 0 1
hemi(. . x) |  2 |  *  * 12 | 0 1 1
------------+----+----------+------
hemi(x3x .) |  6 |  3  3  0 | 4 * *
hemi(x . x) |  4 |  2  0  2 | * 6 *
hemi(. x4x) |  8 |  0  4  4 | * * 3"
"e( x3o5o )


{3,5} 5

ellike

hemi-icosahedron



  ©","hemi(. . .) | 6 |  5 |  5
------------+---+----+---
hemi(x . .) | 2 | 15 |  2
------------+---+----+---
hemi(x3o .) | 3 |  3 | 10","e( x5o3o )


{5,3} 5

eldoe

hemi-dodecahedron



  ©
   

  ©","hemi(. . .) | 10 |  3 | 3
------------+----+----+--
hemi(x . .) |  2 | 15 | 2
------------+----+----+--
hemi(x5o .) |  5 |  5 | 6"
"As an aside:
The edge graph of ellike also is known as  K 6 ,
the complete graph with 6 vertices.","As a further aside:
The edge graph of eldoe also is known as
the  Peterson graph  (given in the right pic above)."
"e( o3x5o )


ellid

hemi-icosidodecahedron","hemi(. . .) | 15 |  4 |  2 2
------------+----+----+-----
hemi(. x .) |  2 | 30 |  1 1
------------+----+----+-----
hemi(o3x .) |  3 |  3 | 10 *
hemi(. x5o) |  5 |  5 |  * 6",,
"e( x3x5o )


elti

truncated hemi-icosahedron","hemi(. . .) | 30 |  1  2 |  2 1
------------+----+-------+-----
hemi(x . .) |  2 | 15  * |  2 0
hemi(. x .) |  2 |  * 30 |  1 1
------------+----+-------+-----
hemi(x3x .) |  6 |  3  3 | 10 *
hemi(. x5o) |  5 |  0  5 |  * 6","e( o3x5x )


eltid

truncated hemi-dodecahedron","hemi(. . .) | 30 |  2  1 |  1 2
------------+----+-------+-----
hemi(. x .) |  2 | 30  * |  1 1
hemi(. . x) |  2 |  * 15 |  0 2
------------+----+-------+-----
hemi(o3x .) |  3 |  3  0 | 10 *
hemi(. x5x) | 10 |  5  5 |  * 6"
